province_name;province_name_en;province_code
ACEH;ACEH;11
SUMATERA UTARA;NORTH SUMATERA;12
SUMATERA BARAT;WEST SUMATERA;13
RIAU;RIAU;14
JAMBI;JAMBI;15
SUMATERA SELATAN;SOUTH SUMATERA;16
BENGKULU;BENGKULU;17
LAMPUNG;LAMPUNG;18
KEPULAUAN BANGKA BELITUNG;BANGKA BELITUNG ISLANDS;19
KEPULAUAN RIAU;RIAU ISLANDS;21
DAERAH KHUSUS IBUKOTA JAKARTA;SPECIAL CAPITAL REGION OF JAKARTA;31
JAWA BARAT;WEST JAVA;32
JAWA TENGAH;CENTRAL JAVA;33
DAERAH ISTIMEWA YOGYAKARTA;SEPCIAL REGION OF YOGYAKARTA;34
JAWA TIMUR;EAST JAVA;35
BANTEN;BANTEN;36
BALI;BALI;51
NUSA TENGGARA BARAT;WEST NUSA TENGGARA;52
NUSA TENGGARA TIMUR;EAST NUSA TENGGARA;53
KALIMANTAN BARAT;WEST KALIMANTAN;61
KALIMANTAN TENGAH;CENTRAL KALIMANTAN;62
KALIMANTAN SELATAN;SOUTH KALIMANTAN;63
KALIMANTAN TIMUR;EAST KALIMANTAN;64
KALIMANTAN UTARA;NORTH KALIMANTAN;65
SULAWESI UTARA;NORTH SULAWESI;71
SULAWESI TENGAH;CENTRAL SULAWESI;72
SULAWESI SELATAN;SOUTH SULAWESI;73
SULAWESI TENGGARA;SOUTHEAST SULAWESI;74
GORONTALO;GORONTALO;75
SULAWESI BARAT;WEST SULAWESI;76
MALUKU;MALUKU;81
MALUKU UTARA;NORTH MALUKU;82
PAPUA;PAPUA;91
PAPUA BARAT;WEST PAPUA;92
